,Unnamed: 0,tweet,label
0,1359,chanel yetu ya mmb dstv  na hivi karibuni vipindi vingine vipya vitaanza kurushwa katika chaneli hiyogift,2
1,658,rata mwe muzi byose iyo uburozi bumaze igihe kinini nabwo butakaza ubuziranenge,0
2,404,nasty c ih ,1
3,2683,humura grand frere turi kumwe amahoro asagambe muri wowe no mu bawe rwose humura,2
4,1422,habari ahsante kwa kuwasiliana nasi pole sana kwa changamoto uliyoipata tulikuwa na tatizo la mtandao ila kwa sasa huduma ya internet imerejea naomba kufahamu kwa sasa bado unashindwa kutumia internet ahsante wn,2
5,715,niba na farg yaramwishyuriya amashuri ayo mafaranga yapfuye ubusa kuko kwiga kwe ntacyo byamumariye pffff ,0
6,972,mara nyingi mijadala kuhusu wanafunzi wajawazito imeegemea kujenga hoja ya maadili kwamba mimba nje ya ndoa ni kinyum,1
7,1649,ntimureba aho amasaha ajyeze  kandi ubwo umucuruzi arimo gufungura iduka ,1
8,284,niba abakobwa bose ukibabona ugashukura ukumva baruta umwe utereta ba uhagaritse kuyobya uwo mwana ubanze umare irari agapipi kawe ,0
9,638,emmanuel msanga tafadhali tunaomba ututumie screen shot ya ujumbe uliopokea na namba yako ya simu,1
10,1195,tunaendelea kulisaka bao la tatu,1
11,284,sema roman wanapenda raha sanakuna sistakavaa na zile nguo zao tuko nae hapa airport kaagiza ki light chake na anakunywa bila hata wasi,1
12,2837,ubundi aha hari ubuzima tsinda,2
13,1744,samaillah tunapenda kukufahamisha ujazo wa mb unategemea na thamani ya kifurushi husikabado unaweza kujipatia vifurushi vyetu mbalimbali vya internet kwa kupiga  kisha chagua sikuwiki au mwezi kisha namba  vifuru,2
14,2694,ntitukihererane ibibazo bisangize uwo wiyumvamo hakiri kare nibyanga ugane inzego zubuzima zikwegereye,2
15,641,h yini hosi ya ma rima,2
16,121,marteen huduma hiyo kwa sasa haipo tafadhali endelea kufuatilia ukurasa wetu zoezi likikamilika tutatoa muongozo,0
17,316,conforme mo swi vonaka  ,1
18,176,kwa masikitiko makubwa nimepokea habari ya kifo cha mzee iddi simba aliwahi kuwa mbunge waziri mjumbe wa kamati kuu ya h,0
19,2400,baraberewe sana kereka babandi bareba inka babura icyo bayinenga bakavugango dore icyogicebe cyayo,1
20,1603,kubera iki abantu bari gufungura youtube channels ari benshi mu rwanda nibindi bisubizo rwanda rwot rwandan menya ,1
21,2429,njye numva ubundi umuhanzi uri kubikora neza ari ruti jol,2
22,275,unga ni singuite ni mumu l,0
23,453,imishinga mba mfite iyo nkennye iyo mbonye amafrw ihinduka inzoga nibyana   mwebwe bigenda gute,0
24,1813,aho kujy kureba match y patriots muri arena uyumunsi nari buyajyane gorilla nkashyiriraho chelsea ,1
25,941,mbonye iriya station ya police yi remera nibuka le  jan tujyayo gutanga ikirego ko batwibye  kwibwa kuri ny,0
26,2806,ayo matsiko banza wohereze ,2
27,2709,ninge mu jeunes umeze neza munsi yubutayu bwa sahara,2
28,1350,iyi guma mu rugo isize bamwe mu ihungabana ese ibikomere covid izasiga byo bizomorwa bite     ,1
29,467,abaya in stock kwa  tu ipo pia rangi ya pink maroon mustard yellow na royal blue nafanya delivery na mikoani natum,1
30,267,hakuna haja ya kuwa na wasiwasi na serikali yako unayoiamini ipe nafasi ifanye kazi wizara yetu haitawaangusha,1
31,855,mwaisa vs mtu mrefu photographer by me,1
